mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6216255187988281,0.008988939931389358,0.02988710403442383,0.002008789931472219,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6156716417910447,0.5802707930367504,0.5503875968992248,0.5397412199630314,0.5240847784200385,0.5620312060220181,0.03250331479595753,5
0.2962770938873291,0.007763293561088468,0.012180328369140625,0.0014729182205036081,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.603415559772296,0.5647969052224371,0.546875,0.5390334572490706,0.5447619047619048,0.5597765654011416,0.023459465472882482,9
0.5938013553619385,0.020705775682421292,0.026193666458129882,0.0035390966486411202,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6124763705103969,0.5601577909270217,0.5450980392156862,0.5363128491620112,0.5419847328244275,0.5592059565279086,0.02777891731579679,11
0.2968571662902832,0.007420029901815858,0.014780759811401367,0.0015708874590753148,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.616822429906542,0.5653021442495126,0.532803180914513,0.5308411214953271,0.5271317829457365,0.5545801319023262,0.03400074493151812,29
0.5883261680603027,0.019989591808890036,0.025597620010375976,0.002174964506596478,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6194029850746269,0.5618860510805501,0.5381526104417671,0.5160075329566854,0.5299806576402321,0.5530859674387724,0.03635122857881275,36
0.2959287166595459,0.007664724306598545,0.014728212356567382,0.0013720350151192574,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.616822429906542,0.5653021442495126,0.532803180914513,0.5308411214953271,0.5271317829457365,0.5545801319023262,0.03400074493151812,29
0.5777628898620606,0.022788402668456033,0.025389575958251955,0.0028200972201268253,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6194029850746269,0.5618860510805501,0.5381526104417671,0.5160075329566854,0.5299806576402321,0.5530859674387724,0.03635122857881275,36
0.27715039253234863,0.016129939106488165,0.01419081687927246,0.0020621818793430885,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6240601503759399,0.562992125984252,0.5352112676056338,0.5209125475285171,0.5203883495145631,0.5527128882017812,0.03888068605594636,38
0.5629540920257569,0.005566390439959893,0.02575058937072754,0.003194262562472866,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6110056925996205,0.5691699604743083,0.5384615384615384,0.5171102661596958,0.5271317829457365,0.55257584812818,0.03404066093438906,40
0.3370209693908691,0.008937694127518185,0.015777778625488282,0.002447850369092544,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6059479553903345,0.5490196078431373,0.5261121856866537,0.5417439703153989,0.5217391304347826,0.5489125699340615,0.030208239961317572,51
0.6647519588470459,0.013967661549971594,0.032426643371582034,0.004026435270794291,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6025878003696857,0.5422396856581533,0.5234375,0.5641025641025641,0.5169811320754717,0.5498697364411751,0.031049343770736204,50
0.3293460369110107,0.0070484487480736305,0.015097999572753906,0.002277133902408222,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6173752310536045,0.5518590998043053,0.5398058252427185,0.5280898876404494,0.5171102661596958,0.5508480619801548,0.035227803737031965,49
